iter	Passed	Remaining
405	7572	11079
406	7590	11059
407	7609	11041
408	7627	11021
409	7648	11005
410	7668	10989
411	7686	10970
412	7704	10950
413	7722	10930
414	7740	10911
415	7759	10893
416	7778	10874
417	7797	10856
418	7815	10837
419	7835	10819
420	7853	10800
421	7871	10781
422	7889	10762
423	7908	10743
424	7927	10724
425	7946	10707
426	7964	10687
427	7982	10668
428	8000	10648
429	8018	10629
430	8036	10609
431	8054	10590
432	8073	10571
433	8091	10552
434	8109	10533
435	8128	10514
436	8146	10495
437	8165	10476
438	8183	10457
439	8201	10437
440	8219	10418
441	8238	10400
442	8257	10382
443	8276	10363
444	8294	10344
445	8312	10325
446	8330	10306
447	8349	10287
448	8368	10269
449	8386	10249
450	8404	10230
451	8422	10211
452	8440	10192
453	8459	10173
454	8477	10154
455	8495	10135
456	8514	10116
457	8533	10098
458	8551	10079
459	8570	10060
460	8589	10042
461	8607	10023
462	8625	10004
463	8644	9985
464	8662	9966
465	8681	9948
466	8699	9928
467	8717	9910
468	8735	9890
469	8754	9871
470	8772	9852
471	8792	9835
472	8810	9816
473	8830	9798
474	8849	9780
475	8867	9761
476	8885	9742
477	8904	9724
478	8922	9704
479	8940	9685
480	8958	9666
481	8975	9646
482	8995	9628
483	9012	9608
484	9031	9589
485	9052	9573
486	9069	9553
487	9086	9533
488	9105	9514
489	9124	9496
490	9146	9481
491	9167	9465
492	9188	9449
493	9208	9432
494	9226	9412
495	9245	9395
496	9263	9375
497	9281	9356
498	9299	9337
499	9318	9318
500	9337	9299
501	9354	9280
502	9372	9260
503	9391	9242
504	9409	9223
505	9427	9204
506	9446	9185
507	9465	9167
508	9483	9148
509	9505	9133
510	9524	9114
511	9542	9095
512	9561	9077
513	9581	9059
514	9600	9040
515	9618	9021
516	9639	9005
517	9657	8986
518	9676	8967
519	9695	8949
520	9713	8930
521	9732	8912
522	9751	8893
523	9769	8874
524	9789	8857
525	9808	8838
526	9826	8819
527	9844	8800
528	9863	8782
529	9881	8763
530	9899	8743
531	9917	8724
532	9935	8705
533	9953	8686
534	9972	8667
535	9991	8649
536	10009	8630
537	10027	8611
538	10045	8592
539	10064	8573
540	10083	8555
541	10102	8536
542	10120	8517
543	10138	8498
544	10156	8479
545	10174	8459
546	10191	8440
547	10209	8421
548	10228	8402
549	10249	8386
550	10267	8366
551	10285	8347
552	10303	8328
553	10321	8308
554	10339	8290
555	10358	8272
556	10377	8253
557	10395	8234
558	10413	8215
559	10432	8196
560	10450	8177
561	10468	8158
562	10486	8139
563	10504	8120
564	10522	8101
565	10540	8082
566	10559	8063
567	10577	8044
568	10595	8025
569	10613	8006
570	10631	7987
571	10648	7968
572	10666	7948
573	10684	7929
574	10702	7910
575	10720	7891
576	10739	7873
577	10758	7855
578	10776	7835
579	10795	7817
580	10813	7798
581	10831	7779
582	10853	7762
583	10870	7743
584	10889	7725
585	10908	7706
586	10926	7687
587	10945	7668
588	10963	7649
589	10981	7631
590	10999	7612
591	11018	7593
592	11038	7576
593	11061	7560
594	11080	7542
595	11099	7523
596	11116	7504
597	11135	7485
598	11152	7465
599	11170	7446
600	11191	7429
601	11210	7411
602	11228	7392
603	11245	7373
604	11264	7354
605	11282	7335
606	11300	7316
607	11318	7297
608	11336	7278
609	11354	7259
610	11372	7240
611	11391	7221
612	11410	7203
613	11428	7184
614	11446	7165
615	11468	7149
616	11486	7130
617	11505	7111
618	11523	7092
619	11541	7073
620	11560	7055
621	11579	7036
622	11597	7017
623	11616	6999
624	11634	6980
625	11653	6962
626	11671	6943
627	11689	6924
628	11708	6905
629	11726	6886
630	11744	6868
631	11763	6849
632	11781	6830
633	11800	6812
634	11818	6793
635	11837	6774
636	11855	6756
637	11874	6737
638	11892	6718
639	11909	6699
640	11928	6680
641	11947	6662
642	11965	6643
643	11983	6624
644	12001	6605
645	12019	6586
646	12037	6567
647	12055	6548
648	12075	6530
649	12093	6511
650	12110	6492
651	12129	6474
652	12148	6455
653	12166	6436
654	12183	6417
655	12201	6398
656	12220	6379
657	12239	6361
658	12257	6342
659	12275	6323
660	12293	6305
661	12311	6286
662	12329	6267
663	12347	6248
664	12365	6229
665	12383	6210
666	12402	6191
667	12419	6172
668	12438	6154
669	12456	6135
670	12474	6116
671	12492	6097
672	12511	6079
673	12530	6060
674	12548	6041
675	12566	6022
676	12584	6004
677	12603	5985
678	12621	5967
679	12640	5948
680	12658	5929
681	12676	5910
682	12695	5892
683	12713	5873
684	12732	5854
685	12750	5836
686	12768	5817
687	12786	5798
688	12804	5779
689	12822	5760
690	12840	5741
691	12859	5723
692	12878	5705
693	12896	5686
694	12914	5667
695	12932	5648
696	12950	5629
697	12969	5611
698	12987	5592
699	13005	5573
700	13024	5555
701	13042	5536
702	13061	5518
703	13079	5499
704	13098	5480
705	13116	5461
706	13134	5443
707	13152	5424
708	13170	5405
709	13188	5386
710	13207	5368
711	13226	5350
712	13245	5331
713	13266	5314
714	13284	5295
715	13303	5276
716	13348	5268
717	13374	5253
718	13404	5238
719	13423	5220
720	13442	5201
721	13460	5182
722	13479	5164
723	13498	5145
724	13515	5126
725	13533	5107
726	13551	5088
727	13569	5069
728	13588	5051
729	13606	5032
730	13626	5014
731	13643	4995
732	13662	4976
733	13680	4957
734	13699	4939
735	13718	4920
736	13736	4901
737	13755	4883
738	13772	4864
739	13790	4845
740	13809	4826
741	13828	4808
742	13847	4789
743	13865	4770
744	13884	4752
745	13902	4733
746	13920	4714
747	13939	4696
748	13956	4677
749	13975	4658
750	13994	4639
751	14011	4620
752	14031	4602
753	14049	4583
754	14068	4565
755	14086	4546
756	14105	4527
757	14123	4509
758	14141	4490
759	14159	4471
760	14176	4452
761	14195	4433
762	14214	4415
763	14232	4396
764	14251	4377
765	14269	4359
766	14287	4340
767	14306	4321
768	14325	4303
769	14343	4284
770	14361	4265
771	14380	4247
772	14398	4228
773	14416	4209
774	14435	4190
775	14454	4172
776	14471	4153
777	14489	4134
778	14507	4115
779	14525	4097
780	14543	4078
781	14561	4059
782	14579	4040
783	14597	4021
784	14616	4003
785	14634	3984
786	14652	3965
787	14670	3946
788	14692	3929
789	14710	3910
790	14728	3891
791	14748	3873
792	14767	3854
793	14786	3836
794	14804	3817
795	14823	3798
796	14841	3780
797	14859	3761
798	14877	3742
799	14896	3724
800	14914	3705
801	14932	3686
802	14950	3667
803	14968	3649
804	14986	3630
805	15005	3611
806	15022	3592
807	15041	3574
808	15059	3555
809	15078	3536
810	15096	3518
811	15115	3499
812	15133	3480
813	15152	3462
814	15170	3443
815	15188	3424
816	15207	3406
817	15225	3387
818	15243	3368
819	15262	3350
820	15279	3331
821	15297	3312
822	15316	3294
823	15334	3275
824	15353	3256
825	15370	3237
826	15389	3219
827	15407	3200
828	15425	3181
829	15443	3163
830	15462	3144
831	15479	3125
832	15498	3107
833	15516	3088
834	15534	3069
835	15553	3051
836	15571	3032
837	15589	3013
838	15607	2995
839	15626	2976
840	15644	2957
841	15662	2939
842	15681	2920
843	15699	2901
844	15718	2883
845	15736	2864
846	15754	2845
847	15772	2827
848	15790	2808
849	15809	2789
850	15827	2771
851	15846	2752
852	15864	2734
853	15882	2715
854	15900	2696
855	15917	2677
856	15935	2658
857	15953	2640
858	15972	2621
859	15991	2603
860	16010	2584
861	16032	2566
862	16054	2548
863	16074	2530
864	16093	2511
865	16115	2493
866	16133	2474
867	16151	2456
868	16170	2437
869	16189	2419
870	16207	2400
871	16225	2381
872	16243	2363
873	16261	2344
874	16279	2325
875	16300	2307
876	16318	2288
877	16337	2270
878	16355	2251
879	16372	2232
880	16390	2213
881	16409	2195
882	16429	2177
883	16447	2158
884	16465	2139
885	16483	2120
886	16501	2102
887	16519	2083
888	16538	2065
889	16556	2046
890	16574	2027
891	16593	2009
892	16611	1990
893	16630	1971
894	16648	1953
895	16666	1934
896	16683	1915
897	16702	1897
898	16721	1878
899	16739	1859
900	16758	1841
901	16776	1822
902	16794	1804
903	16813	1785
904	16831	1766
905	16849	1748
906	16868	1729
907	16886	1710
908	16905	1692
909	16923	1673
910	16942	1655
911	16961	1636
912	16979	1617
913	16999	1599
914	17017	1580
915	17036	1562
916	17056	1543
917	17075	1525
918	17094	1506
919	17113	1488
920	17133	1469
921	17152	1451
922	17172	1432
923	17190	1413
924	17209	1395
925	17228	1376
926	17248	1358
927	17267	1339
928	17285	1321
929	17303	1302
930	17321	1283
931	17340	1265
932	17358	1246
933	17375	1227
934	17393	1209
935	17412	1190
936	17431	1172
937	17449	1153
938	17467	1134
939	17485	1116
940	17504	1097
941	17523	1078
942	17541	1060
943	17559	1041
944	17578	1023
945	17597	1004
946	17615	985
947	17634	967
948	17652	948
949	17670	930
950	17688	911
951	17706	892
952	17724	874
953	17742	855
954	17760	836
955	17779	818
956	17797	799
957	17816	781
958	17834	762
959	17852	743
960	17870	725
961	17889	706
962	17908	688
963	17926	669
964	17945	650
965	17964	632
966	17983	613
967	18001	595
968	18019	576
969	18040	557
970	18058	539
971	18076	520
972	18096	502
973	18114	483
974	18132	464
975	18150	446
976	18168	427
977	18186	409
978	18204	390
979	18222	371
980	18242	353
981	18261	334
982	18283	316
983	18302	297
984	18321	279
985	18339	260
986	18359	241
987	18379	223
988	18397	204
989	18416	186
990	18434	167
991	18452	148
992	18469	130
993	18489	111
994	18508	93
995	18528	74
996	18547	55
997	18566	37
998	18586	18
999	18604	0
