iter	MultiClass
0	2.573726481
1	2.284923665
2	2.021090594
3	1.834370578
4	1.631925149
5	1.50387937
6	1.359512953
7	1.251298029
8	1.156053939
9	1.070697667
10	0.9985496409
11	0.9302387395
12	0.8698212102
13	0.8264562217
14	0.7782858419
15	0.7323822452
16	0.6846427596
17	0.6469419778
18	0.6121531021
19	0.5765148049
20	0.5447869603
21	0.5150527798
22	0.4911057344
23	0.4656382448
24	0.4436896499
25	0.4222439471
26	0.4037739791
27	0.3855686827
28	0.3689563885
29	0.3525094922
30	0.3364962913
31	0.3230212933
32	0.310947529
33	0.2981997412
34	0.2879010755
35	0.2780971923
36	0.2676269649
37	0.2573101346
38	0.2486674217
39	0.2401124911
40	0.2327981865
41	0.2251807802
42	0.21783641
43	0.2095016157
44	0.2033632987
45	0.1970581114
46	0.1916610402
47	0.1852601715
48	0.1803858003
49	0.1754454477
50	0.1706857272
51	0.1666784721
52	0.1617474475
53	0.1572080579
54	0.1528460538
55	0.1496735056
56	0.1456963722
57	0.1415930973
58	0.1381021988
59	0.1349129234
60	0.131854474
61	0.1285951032
62	0.1263808782
63	0.1237256127
64	0.1208444887
65	0.1179042946
66	0.115594749
67	0.1130777606
68	0.1107728536
69	0.1091107731
70	0.1069712219
71	0.1047273079
72	0.1026317565
73	0.1007911425
74	0.09903155371
75	0.09682166975
76	0.09509123685
77	0.09304051837
78	0.09121670688
79	0.08937915332
80	0.08774726161
81	0.08671384058
82	0.08540016998
83	0.0840935469
84	0.08272237496
85	0.08136518088
86	0.08017796626
87	0.07905516927
88	0.07768244057
89	0.07656104596
90	0.07539048196
91	0.07397708538
92	0.07246941419
93	0.07146088729
94	0.07051559958
95	0.06954421253
96	0.06836629227
97	0.06733271386
98	0.0663346743
99	0.06544442719
100	0.06437853823
101	0.06368934008
102	0.0628579236
103	0.06191714473
104	0.06125537835
105	0.06068736474
106	0.05994626005
107	0.05910221755
108	0.05845226854
109	0.05766540912
110	0.05681083152
111	0.05600584648
112	0.05512773406
113	0.05444370001
114	0.05375067807
115	0.05315608773
116	0.05259807358
117	0.05180043393
118	0.05119477472
119	0.05058760951
120	0.05009744196
121	0.0493902924
122	0.04884961406
123	0.04828788438
124	0.04773175305
125	0.04726284484
126	0.04687471261
127	0.04636899053
128	0.04565214823
129	0.04509317378
130	0.04467042626
131	0.04424525186
132	0.04384227902
133	0.04341895651
134	0.04287323095
135	0.0423136669
136	0.04193520737
137	0.04152701396
138	0.04113178718
139	0.04060732415
140	0.04032852187
141	0.03987531973
142	0.03959677754
143	0.03927874578
144	0.0390545514
145	0.03870221179
146	0.03820587961
147	0.03781012128
148	0.03747712803
149	0.03711550432
150	0.03672545667
151	0.03649279602
152	0.03619789589
153	0.03588827005
154	0.03560220113
155	0.03531842346
156	0.03501842226
157	0.03478564
158	0.03430970081
159	0.03398616561
160	0.0336519147
161	0.03320341321
162	0.03287101983
163	0.03264582178
164	0.03240686353
165	0.03212037288
166	0.0318961993
167	0.03164080472
168	0.03144391397
169	0.03120654822
170	0.0309851813
171	0.0308418712
172	0.03065257314
173	0.03042357368
174	0.03022599631
175	0.02998848286
176	0.02983444487
177	0.02961860706
178	0.02945522582
179	0.02921403676
180	0.0290083164
181	0.02874919225
182	0.02851634189
183	0.02827808081
184	0.02805339057
185	0.02791056165
186	0.02772038962
187	0.02748212324
188	0.02731863942
189	0.02712993767
190	0.02694251882
191	0.0267626232
192	0.02662615698
193	0.02641583252
194	0.02621050269
195	0.02601111216
196	0.02586986746
197	0.02565012246
198	0.02546397715
199	0.02525248494
200	0.02508089759
201	0.02491998774
202	0.02476732528
203	0.02465328573
204	0.02453043595
205	0.02436594399
206	0.02411122511
207	0.02397908357
208	0.023881547
209	0.02378193925
210	0.02363320136
211	0.02355123795
212	0.02339679055
213	0.02319902236
214	0.0230696379
215	0.02296826569
216	0.02287250756
217	0.0227193182
218	0.02257517436
219	0.02245463301
220	0.02232075246
221	0.0222175123
222	0.02212584645
223	0.02196047026
224	0.02185493413
225	0.02169206528
226	0.02155374775
227	0.0214236786
228	0.02127153863
229	0.02115925106
230	0.0210264945
231	0.02095306518
232	0.02084697592
233	0.02076198118
234	0.02065341985
