iter	MultiClass
0	2.509360315
1	2.222099707
2	1.938041396
3	1.744650745
4	1.554019394
5	1.425008641
6	1.284567975
7	1.182210294
8	1.089544971
9	1.003509331
10	0.92933711
11	0.8641087533
12	0.8061332222
13	0.756017805
14	0.7113947908
15	0.668876685
16	0.631139912
17	0.594727502
18	0.5638748462
19	0.5309364416
20	0.5036247999
21	0.4773333906
22	0.4539187869
23	0.4319208455
24	0.4121667884
25	0.3916449021
26	0.3747798942
27	0.356315526
28	0.3404999401
29	0.3248312778
30	0.3104387017
31	0.2984612968
32	0.2858555608
33	0.2739679098
34	0.2645258794
35	0.2564017341
36	0.2481975923
37	0.2390907129
38	0.2295862043
39	0.2202570676
40	0.2134226824
41	0.2061482954
42	0.1989736019
43	0.1931794836
44	0.1871427343
45	0.1820252334
46	0.1761739889
47	0.1701459214
48	0.1656544177
49	0.1606535516
50	0.1563257004
51	0.1520350059
52	0.1476220882
53	0.1431695784
54	0.1394042995
55	0.1358388839
56	0.1321630604
57	0.1284635389
58	0.1248607799
59	0.121747749
60	0.1184575151
61	0.1156743206
62	0.113154467
63	0.1110051561
64	0.108786433
65	0.1064601605
66	0.1043316903
67	0.1015366858
68	0.09928876515
69	0.09755125882
70	0.09557058486
71	0.09375995781
72	0.09209632735
73	0.09067295003
74	0.08877277473
75	0.08661027404
76	0.08502466201
77	0.08368567997
78	0.08224970254
79	0.08050879795
80	0.07943321616
81	0.07824190118
82	0.07670404153
83	0.07496919832
84	0.0737251863
85	0.07254281674
86	0.07141380685
87	0.07049888478
88	0.06944833484
89	0.06832626869
90	0.06756188371
91	0.06655767384
92	0.06524180432
93	0.0644368739
94	0.06350302577
95	0.06274015666
96	0.06178342452
97	0.06094445182
98	0.05991883184
99	0.05925151915
100	0.058208979
101	0.05749023484
102	0.05672496041
103	0.05595001457
104	0.05530274036
105	0.05459944465
106	0.05383996762
107	0.05295936296
108	0.05233486148
109	0.05155106279
110	0.05064153891
111	0.05000182896
112	0.04949669655
113	0.04908348364
114	0.04850243445
115	0.04805400635
116	0.0476431586
117	0.0471845237
118	0.04673096309
119	0.04587260343
120	0.04546205632
121	0.04507851068
122	0.0444799001
123	0.04408661903
124	0.04349294353
125	0.043117796
126	0.04274635035
127	0.04250358812
128	0.04205722165
129	0.04150898981
130	0.04107716456
131	0.04070045305
132	0.04040553072
133	0.03998662581
134	0.03939721907
135	0.03895200699
136	0.03862056258
137	0.03820190932
138	0.03760216011
